Site_code,Time,Site,RCVA_adult,RCVA_juvenile,n_RCVA_adult,n_RCVA_juvenile,RHD1_adult,RHD1_juvenile,n_RHD1_adult,n_RHD1_juvenile,RHD2_adult,RHD2_juvenile,n_RHD2_adult,n_RHD2_juvenile
17,1,Wallangarra East,0,0,0,0,0,0,0,0,0,0,0,0
17,2,Wallangarra East,5,3,7,3,2,0,7,3,3,1,7,3
17,3,Wallangarra East,14,4,14,5,2,2,15,5,8,0,15,5
17,4,Wallangarra East,17,0,20,0,16,0,20,0,0,0,20,0
17,5,Wallangarra East,9,9,9,11,9,1,9,11,0,0,9,11
17,6,Wallangarra East,11,5,13,7,8,3,13,7,1,1,13,7
17,7,Wallangarra East,10,0,20,0,7,0,20,0,3,0,20,0
17,8,Wallangarra East,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,9,Wallangarra East,9,1,10,10,7,3,10,10,3,5,10,10
17,10,Wallangarra East,10,1,11,8,2,4,11,8,5,3,11,8
17,11,Wallangarra East,20,0,20,0,12,0,20,0,4,0,20,0
17,12,Wallangarra East,6,0,7,2,4,1,7,2,2,0,7,2
17,13,Wallangarra East,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
17,14,Wallangarra East,3,0,3,0,1,0,3,0,0,0,3,0
18,1,Wallangarra West,0,0,0,0,0,0,0,0,0,0,0,0
18,2,Wallangarra West,2,7,3,7,0,4,3,7,0,2,3,7
18,3,Wallangarra West,18,2,18,2,6,2,18,2,4,0,18,2
18,4,Wallangarra West,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,5,Wallangarra West,14,5,15,5,9,0,15,5,1,0,15,5
18,6,Wallangarra West,14,2,15,4,8,0,15,4,1,0,15,4
18,7,Wallangarra West,19,0,20,0,7,0,20,0,5,0,20,0
18,8,Wallangarra West,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,9,Wallangarra West,7,0,9,0,2,0,9,0,5,0,9,0
18,10,Wallangarra West,7,6,9,11,1,3,9,11,3,2,9,11
18,11,Wallangarra West,8,1,9,1,1,0,9,1,6,0,9,1
18,12,Wallangarra West,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,13,Wallangarra West,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
18,14,Wallangarra West,3,5,4,5,4,3,4,5,0,1,4,5
